Time Step,Quiet Agents,Jailed Agents,Active Agents,Cops
0,800,0,0,240
1,560,200,40,239
2,559,241,0,238
3,559,241,0,237
4,559,241,0,236
5,559,241,0,235
6,559,241,0,234
7,559,241,0,233
8,559,241,0,232
9,559,241,0,231
10,559,241,0,230
11,559,241,0,229
12,559,241,0,228
13,559,241,0,227
14,559,241,0,226
15,559,241,0,225
16,559,241,0,224
17,559,241,0,223
18,559,241,0,222
19,559,241,0,221
20,559,241,0,220
21,559,241,0,219
22,559,241,0,218
23,559,241,0,217
24,559,241,0,216
25,559,241,0,215
26,559,241,0,214
27,559,241,0,213
28,559,241,0,212
29,559,241,0,211
30,559,241,0,210
31,559,241,0,209
32,559,241,0,208
33,559,241,0,207
34,559,241,0,206
35,559,241,0,205
36,559,241,0,204
37,559,241,0,203
38,559,241,0,202
39,559,241,0,201
40,559,241,0,200
41,559,241,0,199
42,559,241,0,198
43,559,241,0,197
44,559,241,0,196
45,559,241,0,195
46,559,241,0,194
47,559,241,0,193
48,559,241,0,192
49,559,241,0,191
50,559,241,0,190
51,559,241,0,189
52,559,241,0,188
53,559,241,0,187
54,559,241,0,186
55,559,241,0,185
56,559,241,0,184
57,559,241,0,183
58,559,241,0,182
59,559,241,0,181
60,559,241,0,180
61,559,241,0,179
62,559,241,0,178
63,559,241,0,177
64,559,241,0,176
65,559,241,0,175
66,559,241,0,174
67,559,241,0,173
68,559,241,0,172
69,559,241,0,171
70,559,241,0,170
71,559,241,0,169
72,559,241,0,168
73,559,241,0,167
74,559,241,0,166
75,559,241,0,165
76,559,241,0,164
77,559,241,0,163
78,559,241,0,162
79,559,241,0,161
80,559,241,0,160
81,559,241,0,159
82,559,241,0,158
83,559,241,0,157
84,559,241,0,156
85,559,241,0,155
86,559,241,0,154
87,559,241,0,153
88,559,241,0,152
89,559,241,0,151
90,559,241,0,150
91,559,241,0,149
92,559,241,0,148
93,559,241,0,147
94,559,241,0,146
95,559,241,0,145
96,559,241,0,144
97,559,241,0,143
98,559,241,0,142
99,559,241,0,141
100,559,241,0,140
101,559,241,0,139
102,559,241,0,138
103,559,241,0,137
104,559,241,0,136
105,559,241,0,135
106,559,241,0,134
107,559,241,0,133
108,559,241,0,132
109,559,241,0,131
110,559,241,0,130
111,559,241,0,129
112,559,241,0,128
113,559,241,0,127
114,559,241,0,126
115,559,241,0,125
116,559,241,0,124
117,558,242,0,123
118,558,242,0,122
119,558,242,0,121
120,558,242,0,120
121,558,242,0,119
122,558,242,0,118
123,558,242,0,117
124,558,242,0,116
125,558,242,0,115
126,558,242,0,114
127,558,242,0,113
128,558,242,0,112
129,558,242,0,111
130,558,242,0,110
131,558,242,0,109
132,558,242,0,108
133,558,242,0,107
134,558,242,0,106
135,558,242,0,105
136,558,242,0,104
137,558,242,0,103
138,558,242,0,102
139,558,242,0,101
140,558,242,0,100
141,558,242,0,99
142,558,242,0,98
143,558,242,0,97
144,558,242,0,96
145,558,242,0,95
146,558,242,0,94
147,558,242,0,93
148,558,242,0,92
149,557,242,1,91
150,557,243,0,90
151,557,243,0,89
152,557,243,0,88
153,557,243,0,87
154,510,255,35,86
155,404,298,98,85
156,267,366,167,84
157,146,449,205,83
158,133,529,138,82
159,143,599,58,81
160,159,640,1,80
161,159,641,0,79
162,159,641,0,78
163,159,641,0,77
164,159,641,0,76
165,159,641,0,75
166,159,641,0,74
167,159,641,0,73
168,159,641,0,72
169,159,641,0,71
170,159,641,0,70
171,159,641,0,69
172,159,641,0,68
173,159,641,0,67
174,159,641,0,66
175,159,641,0,65
176,156,644,0,64
177,156,644,0,63
178,156,644,0,62
179,156,644,0,61
180,156,644,0,60
181,156,644,0,59
182,156,644,0,58
183,156,644,0,57
184,156,644,0,56
185,155,645,0,55
186,155,645,0,54
187,155,645,0,53
188,155,645,0,52
189,155,645,0,51
190,155,645,0,50
191,155,645,0,49
192,155,645,0,48
193,155,645,0,47
194,152,645,3,46
195,152,646,2,45
196,152,647,1,44
197,152,648,0,43
198,152,648,0,42
199,152,648,0,41
200,152,648,0,40
201,151,649,0,39
202,151,649,0,38
203,151,649,0,37
204,150,649,1,36
205,150,650,0,35
206,150,650,0,34
207,150,650,0,33
208,150,650,0,32
209,148,652,0,31
210,146,653,1,30
211,143,657,0,29
212,140,658,2,28
213,136,660,4,27
214,133,662,5,26
215,129,664,7,25
216,128,670,2,24
217,123,675,2,23
218,121,678,1,22
219,119,680,1,21
220,114,682,4,20
221,115,683,2,19
222,113,686,1,18
223,111,686,3,17
224,112,686,2,16
225,109,686,5,15
226,108,688,4,14
227,107,690,3,13
228,106,692,2,12
229,103,694,3,11
230,102,695,3,10
231,100,696,4,9
232,99,698,3,8
233,98,699,3,7
234,98,700,2,6
235,98,700,2,5
236,98,701,1,4
237,98,701,1,3
238,98,701,1,2
239,98,701,1,1
240,98,701,1,0
241,98,701,1,0
242,98,701,1,0
243,98,701,1,0
244,98,701,1,0
245,98,701,1,0
246,98,701,1,0
247,98,701,1,0
248,98,701,1,0
249,98,701,1,0
250,98,701,1,0
251,98,701,1,0
252,98,701,1,0
253,98,701,1,0
254,98,701,1,0
255,98,701,1,0
256,98,701,1,0
257,98,701,1,0
258,98,701,1,0
259,98,701,1,0
260,98,701,1,0
261,98,701,1,0
262,98,701,1,0
263,98,701,1,0
264,98,701,1,0
265,98,701,1,0
266,98,701,1,0
267,98,701,1,0
268,98,701,1,0
269,98,701,1,0
270,98,701,1,0
271,98,701,1,0
272,98,701,1,0
273,98,701,1,0
274,98,701,1,0
275,98,701,1,0
276,98,701,1,0
277,98,701,1,0
278,98,701,1,0
279,98,701,1,0
280,98,701,1,0
281,98,701,1,0
282,98,701,1,0
283,98,701,1,0
284,98,701,1,0
285,98,701,1,0
286,98,701,1,0
287,98,701,1,0
288,98,701,1,0
289,98,701,1,0
290,98,701,1,0
291,98,701,1,0
292,98,701,1,0
293,98,701,1,0
294,98,701,1,0
295,98,701,1,0
296,98,701,1,0
297,98,701,1,0
298,98,701,1,0
299,98,701,1,0
300,98,701,1,0
301,98,701,1,0
302,98,701,1,0
303,98,701,1,0
304,98,701,1,0
305,98,701,1,0
306,98,701,1,0
307,98,701,1,0
308,98,701,1,0
309,98,701,1,0
310,98,701,1,0
311,98,701,1,0
312,98,701,1,0
313,98,701,1,0
314,98,701,1,0
315,98,701,1,0
316,98,701,1,0
317,98,701,1,0
318,98,701,1,0
319,98,701,1,0
320,98,701,1,0
321,98,701,1,0
322,98,701,1,0
323,98,701,1,0
324,98,701,1,0
325,98,701,1,0
326,98,701,1,0
327,98,701,1,0
328,98,701,1,0
329,98,701,1,0
330,98,701,1,0
331,98,701,1,0
332,98,701,1,0
333,98,701,1,0
334,98,701,1,0
335,98,701,1,0
336,98,701,1,0
337,98,701,1,0
338,98,701,1,0
339,98,701,1,0
340,98,701,1,0
341,98,701,1,0
342,98,701,1,0
343,98,701,1,0
344,98,701,1,0
345,98,701,1,0
346,98,701,1,0
347,98,701,1,0
348,98,701,1,0
349,98,701,1,0
350,98,701,1,0
351,98,701,1,0
352,98,701,1,0
353,98,701,1,0
354,98,701,1,0
355,98,701,1,0
356,98,701,1,0
357,98,701,1,0
358,98,701,1,0
359,98,701,1,0
360,98,701,1,0
361,98,701,1,0
362,98,701,1,0
363,98,701,1,0
364,98,701,1,0
365,98,701,1,0
366,98,701,1,0
367,98,701,1,0
368,98,701,1,0
369,98,701,1,0
370,98,701,1,0
371,98,701,1,0
372,98,701,1,0
373,98,701,1,0
374,98,701,1,0
375,98,701,1,0
376,98,701,1,0
377,98,701,1,0
378,98,701,1,0
379,98,701,1,0
380,98,701,1,0
381,98,701,1,0
382,98,701,1,0
383,98,701,1,0
384,98,701,1,0
385,98,701,1,0
386,98,701,1,0
387,98,701,1,0
388,98,701,1,0
389,98,701,1,0
390,98,701,1,0
391,98,701,1,0
392,98,701,1,0
393,98,701,1,0
394,98,701,1,0
395,98,701,1,0
396,98,701,1,0
397,98,701,1,0
398,98,701,1,0
399,98,701,1,0
400,98,701,1,0
401,98,701,1,0
402,98,701,1,0
403,98,701,1,0
404,98,701,1,0
405,98,701,1,0
406,98,701,1,0
407,98,701,1,0
408,98,701,1,0
409,98,701,1,0
410,98,701,1,0
411,98,701,1,0
412,98,701,1,0
413,98,701,1,0
414,98,701,1,0
415,98,701,1,0
416,98,701,1,0
417,98,701,1,0
418,98,701,1,0
419,98,701,1,0
420,98,701,1,0
421,98,701,1,0
422,98,701,1,0
423,98,701,1,0
424,98,701,1,0
425,98,701,1,0
426,98,701,1,0
427,98,701,1,0
428,98,701,1,0
429,98,701,1,0
430,98,701,1,0
431,98,701,1,0
432,98,701,1,0
433,98,701,1,0
434,98,701,1,0
435,98,701,1,0
436,98,701,1,0
437,98,701,1,0
438,98,701,1,0
439,98,701,1,0
440,98,701,1,0
441,98,701,1,0
442,98,701,1,0
443,98,701,1,0
444,98,701,1,0
445,98,701,1,0
446,98,701,1,0
447,98,701,1,0
448,98,701,1,0
449,98,701,1,0
450,98,701,1,0
451,98,701,1,0
452,98,701,1,0
453,98,701,1,0
454,98,701,1,0
455,98,701,1,0
456,98,701,1,0
457,98,701,1,0
458,98,701,1,0
459,98,701,1,0
460,98,701,1,0
461,98,701,1,0
462,98,701,1,0
463,98,701,1,0
464,98,701,1,0
465,98,701,1,0
466,98,701,1,0
467,98,701,1,0
468,98,701,1,0
469,98,701,1,0
470,98,701,1,0
471,98,701,1,0
472,98,701,1,0
473,98,701,1,0
474,98,701,1,0
475,98,701,1,0
476,98,701,1,0
477,98,701,1,0
478,98,701,1,0
479,98,701,1,0
480,98,701,1,0
481,98,701,1,0
482,98,701,1,0
483,98,701,1,0
484,98,701,1,0
485,98,701,1,0
486,98,701,1,0
487,98,701,1,0
488,98,701,1,0
489,98,701,1,0
490,98,701,1,0
491,98,701,1,0
492,98,701,1,0
493,98,701,1,0
494,98,701,1,0
495,98,701,1,0
496,98,701,1,0
497,98,701,1,0
498,98,701,1,0
499,98,701,1,0
